Town_name,Rainfall_2,Rainfall_3
八里區,514.7351027,1261.3063
三芝區,477.4271817,1987.473097
三重區,617.8270979,1172.788265
三峽區,856.235873,1301.995256
土城區,762.0355618,1225.196673
士林區,555.0880849,1735.942719
大同區,642.7902642,1318.613601
大安區,739.0687578,1415.939459
中山區,645.7424366,1412.009462
中正區,748.250966,1317.250797
中和區,743.4829379,1269.146572
五股區,536.1351338,1108.967413
內湖區,655.3910935,1721.547284
文山區,775.09073,1512.028628
北投區,511.3005766,1800.322768
平溪區,646.1879887,1830.998704
永和區,754.152941,1297.503896
石門區,475.825005,1990.223114
石碇區,785.1032453,1695.225745
汐止區,644.2797791,1893.612655
坪林區,718.0656724,1774.837415
松山區,679.8506297,1491.461127
板橋區,681.1869033,1136.954256
林口區,511.8099218,1008.2328
金山區,504.6344263,2329.74331
信義區,728.3208236,1538.44536
南港區,715.5836357,1699.452926
泰山區,589.7517636,1038.20381
烏來區,897.3385664,1506.830767
貢寮區,447.3190383,1380.069567
淡水區,491.4147153,1670.194151
深坑區,762.7635732,1665.308732
新店區,838.3586145,1450.862601
新莊區,622.5327853,1065.678579
瑞芳區,505.5014099,1629.84515
萬里區,518.0227114,2225.414169
萬華區,704.8982666,1226.549768
樹林區,675.4789573,1112.908916
雙溪區,567.990262,1778.5359
蘆洲區,535.7699627,1127.082458
鶯歌區,671.125808,1060.999373
