Index,County,Date,Station,PM25,NO2,Temperature,RH
1,Tainan City,2020/5/9,Tainan,6,5.21,29.28,76.44
2,Tainan City,2020/5/8,Tainan,8,8.42,29.56,74.89
3,Tainan City,2020/5/7,Tainan,8,9.28,29.74,71.11
4,Tainan City,2020/5/6,Tainan,7,7.62,28.81,73.56
5,Tainan City,2020/5/5,Tainan,11,7.81,28.32,77.45
6,Tainan City,2020/5/4,Tainan,10,4.81,28.3,73.78
7,Tainan City,2020/5/3,Tainan,7,6.63,27.96,78.61
8,Tainan City,2020/5/2,Tainan,13,8.99,28.59,70.11
9,Tainan City,2020/5/1,Tainan,24,12.26,28.36,55.15
10,Tainan City,2020/4/30,Tainan,27,13.2,27.29,63.23
11,Tainan City,2020/4/29,Tainan,25,11.04,26.25,71.39
12,Tainan City,2020/4/28,Tainan,26,12.24,26.27,68.15
13,Tainan City,2020/4/27,Tainan,18,11.66,25.75,65.63
14,Tainan City,2020/4/26,Tainan,23,9.17,25.17,70.03
15,Tainan City,2020/4/25,Tainan,20,11.45,23.28,72.8
16,Tainan City,2020/4/24,Tainan,18,12.14,21.11,76.77
17,Tainan City,2020/4/23,Tainan,17,11.55,22.71,77.52
18,Tainan City,2020/4/22,Tainan,19,10.01,24.53,73.88
19,Tainan City,2020/4/21,Tainan,23,10.55,26.6,75.01
20,Tainan City,2020/4/20,Tainan,16,8.81,27,75.03
21,Tainan City,2020/4/19,Tainan,11,10.2,27.39,79.13
22,Tainan City,2020/4/18,Tainan,19,11.76,26.99,73.43
23,Tainan City,2020/4/17,Tainan,24,13.44,25.48,67.36
24,Tainan City,2020/4/16,Tainan,27,15.56,24.19,63.1
25,Tainan City,2020/4/15,Tainan,32,16.07,23.45,59.43
26,Tainan City,2020/4/14,Tainan,30,15.23,21.77,58.31
27,Tainan City,2020/4/13,Tainan,24,11.42,20.21,42.38
28,Tainan City,2020/4/12,Tainan,18,7.79,20.98,65.8
29,Tainan City,2020/4/11,Tainan,26,12.42,24.23,74.09
30,Tainan City,2020/4/10,Tainan,26,12.17,23.91,71.18
31,Tainan City,2020/4/9,Tainan,26,14.82,22.86,71.92
32,Tainan City,2020/4/8,Tainan,22,14.6,21.15,73.8
33,Tainan City,2020/4/7,Tainan,16,10.59,20.8,79.43
34,Tainan City,2020/4/6,Tainan,23,17.5,19.32,83.34
35,Tainan City,2020/4/5,Tainan,24,10.05,20.73,68.88
36,Tainan City,2020/4/4,Tainan,25,9.61,22.49,73.2
37,Tainan City,2020/4/3,Tainan,27,10.69,22.93,76.98
38,Tainan City,2020/4/2,Tainan,20,14.94,21.51,76.05
39,Tainan City,2020/4/1,Tainan,23,13.05,23.91,75.01
